x,y
411455.05405361525,3949866.4978147075
411456.3546930364,3949870.521735784
411456.9450651389,3949872.3877066835
411457.21221825463,3949873.717658006
411457.41330675984,3949874.8347179843
411457.4582599088,3949875.7029381003
411457.3873351399,3949876.538427879
411457.2552697179,3949877.218243933
411456.5967779695,3949878.376790914
411455.8750080855,3949879.108857148
411454.72760486,3949879.7166983164
411453.192579231,3949880.1581729483
411451.9252584018,3949880.592374486
411450.8801264093,3949880.999267699
411449.9562516356,3949881.3380069286
411448.4411957236,3949881.9246899267
