x,y
416866.0876413604,3993538.9184133904
416876.61588066205,3993537.95270106
416884.4921399416,3993537.3366276445
416886.6363628655,3993537.4473986467
416889.0887093152,3993537.965936692
416890.7317122707,3993538.6112274253
416892.83109742904,3993540.069209709
416893.93960356835,3993541.6710911803
416894.5114792017,3993543.750606866
416894.8288836139,3993545.9024172137
416894.9933262952,3993547.8904903177
416894.90859383624,3993550.5172378216
416894.65684681915,3993553.2710776813
416894.33864987467,3993556.6491021966
416894.1312947384,3993559.4252066137
416894.0053493569,3993561.676895597
416894.1489004691,3993566.372194695
416894.5938410738,3993570.5864547496
416895.1368314825,3993576.2354797632
416895.4227217028,3993580.9154460877
416894.69175626576,3993585.903984075
416895.819002429,3993591.6673984
416896.55455508747,3993595.6934868065
416896.8267753135,3993601.0294173583
416897.0512674765,3993607.0002495283
416896.14894183556,3993612.3228047392
416894.9055683428,3993616.635624954
416894.10588139715,3993619.7861514445
416895.4395587312,3993623.0019206684
416897.5210554351,3993636.446716823
416895.1137515583,3993637.935582578
416884.6806209703,3993637.3460896746
