x,y
411464.97896543983,3949868.624047341
411465.3978975289,3949870.0501759173
411465.63169800007,3949870.941934401
411465.62322443764,3949871.9569909503
411465.73426602705,3949872.7658033874
411465.7104937925,3949873.290454009
411465.17137052625,3949874.472954769
411464.78252394416,3949874.8893353613
411464.5344112534,3949875.2652515043
411464.3828798841,3949875.4243890955
411463.64556478447,3949875.504639584
411462.72891073785,3949875.4332816903
411461.8739977438,3949875.6052378947
411460.82562708465,3949876.0412206533
411460.01076971396,3949876.3158827955
411459.3486505182,3949876.4124135
411458.2657886917,3949876.5799263986
411457.31429198163,3949876.7005932857
411455.81152401655,3949876.6065458204
411455.2638869741,3949876.2822778393
411453.6890607373,3949875.925988316
