x,y
411525.19184321363,3949793.296506042
411530.32152148074,3949794.3742141062
411541.5102251202,3949797.953974061
411547.44438734214,3949800.979807301
411554.9621774899,3949806.1177818943
411566.73581977794,3949817.541266155
411570.7993601826,3949822.6848840197
411574.163375747,3949827.813575456
411577.23423806654,3949834.4481542134
411579.8820621551,3949843.0192850437
411580.63733237894,3949845.4352897326
411582.1057964004,3949847.4400156597
411584.4007422961,3949847.736757623
411586.39279409254,3949847.33454126
411587.9433320185,3949846.531387042
411589.9764110289,3949844.8904407592
411591.7104699812,3949843.285807643
411592.8432818329,3949842.2498397287
411595.1390382364,3949840.106667129
