x,y
416865.10714881046,3993539.3851349032
416877.97400712006,3993538.045013093
416881.4942710665,3993537.7348685754
416884.58230880694,3993537.535305168
416886.91057612497,3993538.396343828
416888.9057808257,3993538.6378441714
416890.8512995438,3993539.244875842
416892.8128897961,3993540.5590003715
416893.49117849144,3993541.470098583
416894.5739266944,3993542.4508623164
416895.16299643164,3993547.1350347875
416895.3715348261,3993550.068553184
416895.3302382891,3993552.7426146627
416894.8257197287,3993557.7723786356
416894.5600522263,3993562.180132046
416894.285604935,3993566.3391585085
416893.54034902673,3993571.6093808375
416893.7199873822,3993574.763134446
416893.9387261906,3993577.6879403284
416894.35209033365,3993581.937616806
416895.2707442185,3993585.3031202373
416895.50064522855,3993590.017256957
416895.548481679,3993594.5252823755
416895.50886534335,3993597.259336683
416895.3664245986,3993599.335115196
416894.8296333525,3993602.395720715
416895.6374961273,3993604.242549974
416894.7571273488,3993607.608485729
416897.29727828485,3993609.626889337
416902.0509550904,3993609.4168420252
416903.89156736905,3993612.1170822517
416903.08889540343,3993615.130122766
416905.78278359474,3993617.452497395
416906.89817136986,3993620.1195361656
416908.77255211317,3993621.8973458973
416894.543028652,3993630.4234082964
416895.82182849647,3993632.1649827585
416898.2485271195,3993634.060880154
416898.25014920335,3993636.1640861807
416898.60644246207,3993637.817529297
416896.53087489284,3993639.6602930767
416892.3962596639,3993639.708423684
416885.71954324585,3993638.0738186506
416883.6416442497,3993637.25270059
416881.0634803896,3993635.856487715
416879.86605707865,3993635.1079799547
416878.58180865226,3993634.3767325855
416877.33866311715,3993634.14542695
416876.19900895015,3993634.150817252
416872.50717428746,3993634.259520622
416870.19452248764,3993634.5386143983
416868.44428475917,3993634.697486419
416865.28750500985,3993634.972806664
416863.2855827063,3993635.126326567
416860.9566698569,3993635.331394286
416858.93651052634,3993635.4311195607
416856.0768082687,3993635.699200471
416853.6076736475,3993635.9140361487
416849.79384081665,3993636.3114099447
416846.05941660795,3993636.7166479393
416843.4803934698,3993637.376475974
416839.4909307636,3993637.549782197
416835.2836190546,3993637.727868726
416831.0625501323,3993638.6411417504
416827.82934416726,3993638.9069738714
416823.6804238288,3993639.865920413
416818.3142697922,3993640.317509929
416816.29419007763,3993639.9716459266
416814.49357588886,3993640.672621025
416811.990166605,3993641.040945553
416809.6548184978,3993641.0468309326
416807.6687907175,3993641.8929873784
416804.7363952481,3993641.4730231725
416803.0715648756,3993643.020066257
416801.5664870938,3993644.149979584
416799.8243512389,3993644.838615892
416798.088403171,3993644.956680932
416796.9912976258,3993645.290429782
416795.93129047204,3993645.0979120727
416794.9875735647,3993644.429646201
416794.2442036983,3993642.4106026953
416793.86717757524,3993640.838306388
416793.63854781486,3993638.4998265756
416793.18615253706,3993634.430083503
416792.79876735393,3993630.9504778553
416792.23293751845,3993625.766819796
416791.6487791133,3993620.0489408295
416791.04668041586,3993614.295229046
416790.37366820214,3993607.3142001256
416789.7225242424,3993601.578318044
416789.1751978744,3993595.819533009
416788.95393060875,3993592.9572432945
416788.56277705857,3993588.370692949
416788.1839788693,3993585.3008977245
416788.0266885769,3993582.728274534
416787.7792412744,3993579.490690533
416787.55429936753,3993577.305202974
416787.5318988671,3993576.204038767
416787.99889199954,3993575.0362983774
416788.81204579736,3993573.9328252934
416789.78702363616,3993573.186676274
416790.91419609415,3993572.684744856
416791.75391855126,3993572.5189712867
416792.9785574165,3993572.4519540723
416794.4461860285,3993572.5161857363
416795.71897526673,3993572.8885329617
416796.8685654387,3993573.230065949
416798.51981721714,3993573.364115852
416799.9964672276,3993573.2831683406
416802.813274856,3993572.8739083805
416805.11850434344,3993572.1076628407
416807.910069149,3993570.8528486374
416809.3331260025,3993570.001094449
416811.41471564805,3993568.8145324155
416813.7853683018,3993567.725155385
416815.95674173266,3993566.930604657
416817.0207653164,3993566.2899597846
416818.3109362271,3993565.6474444317
416819.6091541517,3993564.713968696
416822.2438506473,3993563.550907229
416825.2832154671,3993563.11700514
416828.35514932335,3993562.712544901
416831.01347206807,3993562.131237864
416833.1817670457,3993561.370541553
416834.8993295085,3993560.192101764
416837.6017215334,3993558.1389976093
