x,y
416863.16346512287,3993540.423704048
416869.7202868531,3993538.8236884275
416878.84646161384,3993537.7813192564
416883.78819581395,3993537.3184451144
416885.69740493095,3993537.1935141343
416887.30796926725,3993537.3809241257
416889.55647914717,3993537.9011739744
416890.55606913846,3993538.3186433422
416891.77829822653,3993539.1057696147
416893.5904546913,3993540.5919933743
416894.7811512698,3993542.9018513663
416895.03775828605,3993547.140917886
416894.3597170113,3993560.1890776893
416894.60715892824,3993568.989329117
416894.71377054206,3993574.3382768943
416894.52569945133,3993577.4861561316
416894.526898087,3993581.730525635
416894.6670932456,3993585.517902185
416894.69581653323,3993590.191044532
416894.9178924557,3993593.9672369254
416895.46018740075,3993597.0151614314
416896.5137234746,3993600.8043370578
416898.68436813797,3993603.1975420425
416901.5532560242,3993605.94056724
416902.577551623,3993608.9109979128
416901.39800484746,3993614.8967030747
416900.85644104204,3993618.1052437066
416898.18515092484,3993625.2133567436
416897.11642383004,3993628.38009726
416896.533375205,3993629.143779618
416894.71196530893,3993630.616517465
416892.886475848,3993634.9570507477
416888.06756131764,3993635.7996781254
416883.1561592625,3993635.418084081
