x,y
411527.8806676772,3949792.572256643
411535.70271862205,3949792.5467566918
411540.4550401847,3949793.501969269
411551.50198119547,3949797.0658721505
411557.70093550434,3949800.0215810654
411562.2386728849,3949802.594080386
411567.51735088404,3949806.6181496447
411574.50210333144,3949812.8289020592
411578.3645487715,3949816.9380965824
411583.27317135624,3949823.8635715004
411586.5884070718,3949830.706672913
411589.28567328973,3949836.623085134
411591.9537367244,3949838.6952597746
411594.43515850604,3949838.597297549
411595.8203400485,3949837.9705822007
411597.5565451722,3949836.4664148204
411598.90708805266,3949834.9522263743
411600.06084661436,3949833.6573612667
411602.45627376635,3949831.0174338506
