x,y
411519.1600569509,3949793.4239182677
411511.0606783274,3949796.4576538135
411500.5883440444,3949800.3944039317
411493.4546763758,3949803.0482564745
411482.640886374,3949806.8542209794
411473.4285649842,3949810.6094333623
411467.1148705082,3949813.1167157125
411459.1556451967,3949816.236022177
411449.81800438167,3949819.542433738
411444.9237717689,3949821.783714464
411442.58851069934,3949823.7833526754
411441.4873548603,3949825.867035457
411441.3261262393,3949828.007603293
411441.89720726776,3949830.9777565515
411442.7821642227,3949833.5477796984
411444.19762438524,3949837.283542017
